Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Robbie Grossman,FA,96,414,354,78,16,1,9,47,37,49,105,5,7,3,0.22,0.322,0.35,0.672,0.302,95,-0.8,-1.8,-3.2,-6.6,0.4,999,5254
Cam Gallagher,FA,30,120,108,24,5,0,2,12,11,9,28,1,1,0,0.219,0.282,0.334,0.616,0.274,75,-0.3,-0.2,-3.7,2.3,0.4,999,12981
Ryan Ward,LAD,47,190,175,42,7,1,9,23,26,11,47,2,1,1,0.238,0.289,0.442,0.73,0.315,105,-0.1,0,0.9,-3.5,0.4,999,8169792
Miguel Amaya,CHC,18,73,64,14,3,0,2,8,8,8,18,1,1,0,0.221,0.312,0.381,0.692,0.307,98,-0.1,0,-0.3,1.5,0.4,999,217354
Jesús Aguilar,FA,84,366,331,80,15,0,14,42,46,28,80,3,1,0,0.243,0.306,0.415,0.721,0.314,103,-1.5,-0.6,-0.1,-8.1,0.4,999,11342
Mike Brosseau,MIL,49,201,178,39,8,1,6,22,22,17,58,4,2,1,0.221,0.301,0.376,0.677,0.299,91,-0.4,-1.1,-2.4,-0.8,0.4,999,19683
Elias Díaz,COL,89,348,316,80,16,2,10,39,41,24,68,3,1,1,0.253,0.309,0.412,0.721,0.314,87,-0.9,-0.5,-6,6.9,0.4,999,11680
Otto Lopez,TOR,21,88,79,21,4,1,1,10,9,7,15,1,2,1,0.264,0.328,0.375,0.703,0.31,102,0,0.2,0.2,0.6,0.4,999,19608
Nate Eaton,KCR,53,213,193,46,9,2,4,22,21,15,49,3,8,3,0.241,0.302,0.375,0.676,0.298,90,0.4,0.1,-2,-1.2,0.4,999,25055
Khalil Lee,NYM,50,204,175,36,8,0,5,22,20,22,72,5,4,2,0.204,0.307,0.341,0.648,0.292,93,0,-0.4,-1.6,-1.7,0.4,999,19952
Luis González,SFG,58,236,207,49,11,1,5,26,24,23,55,3,6,2,0.237,0.317,0.375,0.692,0.306,98,-0.1,-1.7,-0.6,-3.8,0.4,999,20332
Cooper Hummel,SEA,29,122,104,23,5,1,4,14,12,15,34,1,2,1,0.217,0.32,0.375,0.695,0.309,106,-0.1,-0.4,0.8,1.4,0.4,999,19458
Willi Castro,FA,52,214,198,49,10,1,5,23,22,11,48,3,5,2,0.248,0.295,0.384,0.679,0.297,92,0.2,-0.9,-1.9,-1.7,0.4,999,17338
Spencer Horwitz,TOR,32,131,114,28,7,0,3,16,14,14,27,1,1,0,0.245,0.333,0.397,0.73,0.322,111,-0.1,0,1.5,-2.3,0.4,999,8115496
Blaze Alexander,ARI,24,99,89,21,4,1,3,11,11,7,27,1,1,1,0.237,0.3,0.397,0.697,0.305,94,0,0,-0.7,0.7,0.4,999,2007742
Alec Burleson,STL,19,80,73,20,4,0,3,9,10,5,13,1,0,0,0.273,0.321,0.446,0.767,0.333,118,-0.1,0,1.6,-1,0.3,999,27615
Sal Frelick,MIL,18,72,65,18,3,1,1,8,8,5,10,1,1,1,0.276,0.337,0.414,0.751,0.328,111,0,0,0.9,0,0.3,999,2017047
Terrin Vavra,BAL,29,119,104,26,6,1,2,13,11,13,25,2,1,1,0.249,0.337,0.367,0.703,0.314,105,-0.2,-0.1,0.5,-1,0.3,999,24400
Miles Mastrobuoni,CHC,26,106,94,25,5,1,2,11,11,9,21,1,2,1,0.262,0.33,0.384,0.714,0.315,103,-0.1,-0.6,0.4,-0.6,0.3,999,20017
Dillon Dingler,DET,21,86,77,17,3,0,2,9,9,6,24,1,0,0,0.219,0.287,0.368,0.655,0.288,88,-0.1,0,-1.3,1.8,0.3,999,2014528
Travis Jankowski,FA,60,242,207,48,8,1,2,25,19,29,52,2,8,3,0.233,0.331,0.317,0.648,0.294,89,0,-0.5,-3,-1.7,0.3,999,13768
Bubba Thompson,TEX,78,299,277,66,12,2,7,32,30,15,80,3,18,5,0.239,0.283,0.372,0.655,0.286,85,1.6,0.1,-3.4,-2.9,0.3,999,22261
Joey Votto,CIN,123,539,463,104,21,1,19,61,64,64,140,7,1,0,0.225,0.325,0.399,0.724,0.319,99,-2.6,-0.7,-3.4,-11.5,0.3,999,4314
Will Benson,CLE,23,90,76,17,3,0,3,11,10,12,26,1,2,1,0.217,0.327,0.397,0.724,0.32,109,0,0.2,0.9,-0.6,0.3,999,21853
Carter Bins,PIT,33,134,119,23,5,1,3,13,13,12,43,2,1,0,0.197,0.278,0.337,0.615,0.274,74,-0.1,0,-4.1,2.8,0.3,999,8115884
Korey Lee,HOU,38,147,134,29,6,0,5,16,17,10,40,1,2,1,0.215,0.272,0.38,0.652,0.285,85,0,-0.4,-2.5,2.7,0.3,999,25543
Adam Duvall,FA,79,325,296,62,12,1,15,36,42,22,100,4,2,1,0.209,0.27,0.409,0.679,0.295,90,-0.4,0.6,-4.2,-3.3,0.3,999,10950
Payton Henry,MIL,32,124,111,23,4,0,3,12,12,9,37,2,1,0,0.208,0.279,0.333,0.612,0.272,73,-0.1,0.1,-4,2.7,0.3,999,22164
Ben Rortvedt,NYY,20,77,69,14,3,0,2,8,8,6,23,1,0,0,0.205,0.274,0.354,0.628,0.278,80,0,0.1,-1.8,1.8,0.3,999,20287
Evan White,SEA,53,219,198,43,8,0,9,24,27,16,65,2,2,1,0.215,0.28,0.399,0.679,0.297,97,0,1.3,-0.7,-3.2,0.3,999,20078
Nelson Cruz,FA,97,421,376,93,16,1,14,48,52,37,101,5,2,1,0.247,0.319,0.405,0.725,0.317,105,-1.9,0,0.6,-11.3,0.3,999,2434
Victor Reyes,FA,60,250,231,59,12,2,5,27,25,13,57,2,4,1,0.255,0.299,0.379,0.678,0.297,91,0.1,-1.1,-2.4,-2.8,0.3,999,15487
Johan Camargo,MIN,24,95,86,21,4,0,2,10,10,8,19,1,0,0,0.244,0.309,0.385,0.694,0.305,97,-0.1,-0.4,-0.4,0.2,0.3,999,14950
Eguy Rosario,SDP,16,68,61,15,3,0,2,8,8,6,15,1,2,1,0.242,0.31,0.4,0.71,0.311,104,0,0,0.3,0.3,0.3,999,19964
Brenton Doyle,COL,21,85,79,21,4,1,3,11,11,4,24,1,2,1,0.264,0.304,0.459,0.763,0.328,97,0,0,-0.3,0.4,0.3,999,2009965
Lewin Díaz,BAL,49,197,179,40,8,0,9,23,26,13,48,2,1,0,0.224,0.281,0.432,0.713,0.308,101,-0.3,0.8,-0.1,-3.2,0.3,999,18365
Jonathan Villar,FA,32,136,123,30,5,1,3,15,13,10,34,1,4,1,0.243,0.303,0.374,0.678,0.298,92,0.4,-1.6,-0.7,-0.8,0.3,999,10071
Leury Garcia,CHW,86,345,320,81,14,1,5,33,32,17,71,3,3,1,0.254,0.297,0.352,0.649,0.286,84,0.6,-2,-5.5,-2.7,0.3,999,5913
Yu Chang,FA,29,117,105,24,5,0,3,12,13,9,32,2,1,0,0.228,0.294,0.378,0.672,0.296,90,-0.1,-0.1,-1.4,0.4,0.3,999,14773
Chad Pinder,FA,83,348,323,75,16,1,11,36,40,19,100,2,2,1,0.232,0.278,0.389,0.666,0.29,87,-0.3,0.7,-5.5,-3,0.3,999,15191
Kevin Pillar,FA,50,202,187,44,9,1,6,21,23,10,42,3,2,1,0.235,0.282,0.391,0.673,0.293,89,0.3,-0.6,-2.3,-1.5,0.3,999,12434
Israel Pineda,WSN,26,102,94,20,4,0,3,10,11,6,25,1,1,0,0.216,0.271,0.377,0.647,0.283,79,-0.1,-0.1,-2.5,2.1,0.3,999,22906
Ali Sánchez,ARI,27,110,99,23,5,0,2,10,10,9,27,1,1,0,0.23,0.294,0.337,0.631,0.28,77,-0.2,-0.1,-3.1,2.2,0.3,999,18551
Sam Huff,TEX,23,93,84,19,3,0,4,10,12,7,30,1,0,0,0.223,0.284,0.418,0.702,0.304,97,-0.1,-0.5,-0.4,-0.2,0.3,999,22209
Franmil Reyes,CHC,65,275,248,58,10,1,13,32,38,22,84,2,2,1,0.235,0.3,0.438,0.738,0.32,107,-0.9,0,1.3,-7.6,0.3,999,14566
Jordan Diaz,OAK,29,121,113,30,7,0,3,13,13,5,19,1,0,0,0.264,0.302,0.411,0.712,0.31,107,-0.1,0.5,0.8,-2,0.3,999,22650
Kyle Garlick,MIN,45,193,176,40,8,1,8,23,25,12,57,2,1,0,0.23,0.287,0.43,0.718,0.311,104,-0.2,-0.8,0.7,-4.1,0.3,999,18063
Enmanuel Valdez,BOS,21,85,77,19,5,0,3,10,11,7,19,1,1,0,0.246,0.309,0.436,0.745,0.323,105,-0.1,0,0.5,-0.5,0.3,999,217288
Taylor Kohlwey,SDP,32,131,116,28,6,0,2,15,13,12,27,1,2,1,0.246,0.323,0.369,0.692,0.307,101,-0.1,0,0.1,-1.8,0.3,999,218457
Jose Herrera,ARI,21,81,71,16,3,0,1,8,7,8,18,1,1,0,0.224,0.307,0.333,0.64,0.287,82,0,0.2,-1.8,2,0.3,999,17040
David Hamilton,BOS,24,99,88,21,4,1,2,11,10,8,21,1,6,2,0.239,0.305,0.373,0.678,0.298,88,0.4,0,-1,0.4,0.3,999,2014434
Pedro Severino,FA,42,171,154,35,7,0,4,17,17,13,42,1,1,0,0.23,0.294,0.357,0.651,0.288,85,-0.5,-0.3,-3.5,3.2,0.3,999,14523
Michael Siani,CIN,40,161,144,33,6,1,4,17,16,13,33,1,6,2,0.232,0.301,0.37,0.67,0.296,83,0.3,0.5,-3,0.1,0.3,999,22557
Alexander Canario,CHC,34,138,124,29,6,1,7,17,19,10,38,1,3,1,0.231,0.295,0.455,0.75,0.323,109,0,0,1.4,-3.5,0.3,999,2003316
Sam Hilliard,ATL,50,200,177,37,7,1,7,23,23,19,64,2,4,1,0.211,0.29,0.385,0.675,0.296,87,0.2,0.5,-2.7,-1.5,0.3,999,17954
Michael Toglia,COL,45,184,164,39,8,1,8,23,25,17,52,1,2,1,0.24,0.312,0.454,0.766,0.332,99,-0.1,-0.1,-0.2,-3.5,0.3,999,25845
Ceddanne Rafaela,BOS,16,66,61,16,3,1,2,8,8,3,14,1,2,1,0.256,0.295,0.44,0.735,0.317,101,0,0,0.1,0.3,0.3,999,2005581
Yolbert Sanchez,CHW,36,145,133,34,6,0,2,14,13,8,23,1,2,1,0.255,0.301,0.341,0.642,0.285,83,-0.1,0,-2.8,0.7,0.3,999,2011471
Addison Barger,TOR,11,46,42,11,2,0,2,6,6,3,12,0,0,0,0.252,0.307,0.448,0.755,0.325,113,0,0,0.7,0.3,0.3,999,2006910
Mickey Moniak,LAA,47,187,171,38,7,1,7,21,22,12,53,2,3,1,0.222,0.277,0.398,0.674,0.292,87,0.1,0.6,-2.6,-1,0.3,999,19956
Nelson Velázquez,CHC,83,336,302,68,13,2,13,38,40,26,104,3,8,3,0.224,0.292,0.411,0.703,0.305,96,0.1,-0.2,-1.3,-7.7,0.2,999,23359
Matt Wallner,MIN,40,161,139,31,7,1,6,19,19,17,54,2,1,1,0.225,0.317,0.411,0.728,0.318,109,-0.1,-0.3,1.4,-4.2,0.2,999,26466
George Valera,CLE,15,59,51,12,2,0,2,7,7,6,15,1,0,0,0.235,0.324,0.419,0.743,0.325,112,0,0,0.8,-0.3,0.2,999,2006872
Wilyer Abreu,BOS,32,131,112,25,6,0,4,15,14,16,38,1,3,1,0.223,0.324,0.381,0.705,0.314,99,0,0,-0.2,-1.6,0.2,999,2005082
Keston Hiura,MIL,70,286,252,54,11,1,12,33,35,24,104,6,4,2,0.216,0.298,0.409,0.708,0.31,99,-0.1,0,-0.5,-6.9,0.2,999,20003
Livan Soto,LAA,21,83,75,18,3,0,1,8,8,7,17,1,1,1,0.238,0.306,0.341,0.646,0.288,85,0,0.1,-1.4,1.1,0.2,999,22471
Isan Díaz,SFG,29,118,104,23,5,0,4,13,13,12,32,1,1,1,0.219,0.301,0.384,0.685,0.301,95,-0.2,-1.3,-0.9,-0.8,0.2,999,17922
Zack Gelof,OAK,18,72,65,15,3,0,2,7,8,5,20,1,1,0,0.231,0.292,0.38,0.671,0.295,96,0,0,-0.3,0.3,0.2,999,2017286
Jackie Bradley Jr.,FA,63,248,224,48,11,1,5,24,24,18,60,3,3,1,0.215,0.279,0.342,0.621,0.275,76,0,1.2,-6.7,0.8,0.2,999,12984
Tucupita Marcano,PIT,23,93,82,20,4,1,1,10,8,9,17,1,2,1,0.238,0.313,0.352,0.664,0.295,89,0,0.1,-1.2,0.3,0.2,999,22871
Owen Miller,CLE,39,161,146,36,8,0,3,16,17,11,35,2,1,0,0.246,0.304,0.369,0.673,0.297,92,-0.1,-1.2,-1.5,-1.4,0.2,999,24655
Harold Castro,FA,65,270,253,69,12,1,4,26,27,12,53,2,1,0,0.271,0.306,0.371,0.677,0.296,91,-0.3,-0.8,-3.1,-3.5,0.2,999,14691
Matt Thaiss,LAA,19,76,66,15,3,0,2,9,8,9,18,1,1,0,0.221,0.317,0.379,0.696,0.308,98,-0.1,0.2,-0.3,0.3,0.2,999,19318
Ehire Adrianza,FA,63,251,223,52,11,1,4,25,22,21,54,3,2,1,0.232,0.304,0.342,0.646,0.288,85,-0.2,-2.4,-4.5,-1.6,0.2,999,8418
Kody Clemens,DET,28,113,103,23,4,1,4,12,13,8,28,1,1,0,0.224,0.28,0.407,0.686,0.297,94,0,-0.4,-0.8,-0.6,0.2,999,20572
Freddy Fermin,KCR,12,48,43,10,2,0,1,5,5,4,10,0,0,0,0.234,0.304,0.382,0.686,0.302,93,-0.1,0.1,-0.4,1.1,0.2,999,21840
René Pinto,TBR,12,47,43,10,2,0,2,5,5,3,14,0,0,0,0.225,0.273,0.392,0.665,0.289,92,0,-0.2,-0.5,0.8,0.2,999,19859
Luis Torrens,FA,33,133,120,28,6,0,4,14,15,10,34,1,0,0,0.231,0.296,0.386,0.682,0.299,93,-0.2,0,-1.3,2.8,0.2,999,15905
Gabriel Arias,CLE,19,80,72,18,3,0,2,9,9,6,19,1,1,0,0.244,0.304,0.402,0.706,0.309,101,0,0,0,-0.5,0.2,999,22563
Alejo Lopez,CIN,26,105,95,25,5,0,2,11,10,8,14,1,1,1,0.269,0.332,0.376,0.708,0.313,94,-0.1,-0.3,-0.9,-0.6,0.2,999,21127
Garrett Stubbs,PHI,27,108,94,21,4,0,2,12,10,12,26,1,2,1,0.222,0.311,0.354,0.665,0.297,89,0,0.1,-1.3,2.4,0.2,999,18067
Darin Ruf,NYM,32,137,119,26,5,0,5,16,16,15,39,2,1,0,0.223,0.315,0.387,0.702,0.311,106,-0.2,-0.4,0.7,-3.3,0.2,999,9929
Connor Joe,COL,16,71,61,16,3,0,2,9,7,8,15,1,1,0,0.254,0.35,0.417,0.766,0.338,104,0,0.2,0.3,-0.7,0.2,999,16572
Dermis Garcia,OAK,42,173,155,32,6,0,8,19,21,15,60,2,1,1,0.207,0.28,0.404,0.685,0.299,99,-0.1,0.5,-0.4,-3.2,0.2,999,20926
J.J. Matijevic,HOU,36,144,128,29,6,1,6,18,18,13,43,1,2,1,0.226,0.3,0.432,0.732,0.316,107,-0.1,0,1,-3.6,0.2,999,20165
Matt Reynolds,CIN,53,215,189,44,10,1,4,22,20,22,59,2,3,1,0.233,0.315,0.353,0.667,0.298,84,-0.3,0.1,-4.3,-1,0.2,999,13788
Brett Sullivan,SDP,36,147,134,31,7,1,3,16,15,10,24,1,1,0,0.23,0.291,0.361,0.652,0.287,87,-0.1,0,-2.3,-0.8,0.2,999,257232
Adam Engel,FA,53,218,200,47,10,1,4,22,21,12,58,3,8,3,0.234,0.288,0.357,0.645,0.284,82,0.4,-1.2,-4,-1.3,0.2,999,15082
Estevan Florial,NYY,19,79,70,15,3,0,2,9,9,7,25,1,3,1,0.22,0.296,0.378,0.674,0.296,93,0.1,0.5,-0.6,-0.2,0.2,999,19151
Mark Mathias,TEX,21,85,76,17,4,0,2,9,9,8,23,1,2,1,0.231,0.308,0.383,0.691,0.304,98,0,-0.4,-0.2,-0.7,0.2,999,18032
Curtis Mead,TBR,8,33,29,7,2,0,1,4,4,2,7,0,0,0,0.252,0.316,0.423,0.74,0.323,116,0,0,0.6,0.1,0.2,999,2008392
Pavin Smith,ARI,62,248,220,54,11,1,7,28,27,22,52,2,1,0,0.246,0.319,0.402,0.72,0.316,101,-0.5,0.1,-0.1,-6.5,0.2,999,19892
Parker Meadows,DET,24,99,89,21,4,1,3,10,10,7,20,1,1,1,0.236,0.298,0.388,0.686,0.3,96,0,0,-0.4,-1,0.2,999,2007943
Willie Calhoun,FA,36,149,133,33,6,1,5,17,16,13,23,1,1,0,0.246,0.316,0.407,0.723,0.317,105,-0.4,-0.8,0.5,-3.7,0.2,999,17838
Bligh Madris,DET,37,152,136,32,7,1,4,16,16,13,34,1,2,1,0.238,0.306,0.388,0.693,0.305,99,-0.2,-0.1,-0.3,-2.9,0.2,999,20054
Ronaldo Hernández,BOS,9,37,34,8,2,0,1,4,5,2,8,0,0,0,0.246,0.284,0.427,0.711,0.307,94,0,0,-0.3,0.8,0.2,999,281850
Bobby Dalbec,BOS,62,245,219,49,9,1,12,29,32,19,79,3,2,1,0.222,0.291,0.436,0.728,0.316,100,-0.3,-0.7,-0.3,-5.8,0.2,999,19966
Andre Lipcius,DET,10,39,34,8,2,0,1,4,4,4,7,0,0,0,0.243,0.328,0.38,0.708,0.314,106,0,0,0.2,0.2,0.2,999,2010401
Alfonso Rivas,CHC,84,331,289,68,12,2,6,33,31,33,92,4,3,1,0.237,0.321,0.352,0.673,0.3,93,-0.2,0.6,-2.9,-6.6,0.2,999,21560
Ryan O'Hearn,KCR,42,173,156,37,7,1,6,19,20,14,44,2,1,0,0.235,0.301,0.409,0.71,0.309,98,-0.4,0,-0.8,-3.1,0.2,999,16442
Brent Rooker,OAK,18,74,65,14,3,0,3,9,9,7,23,1,1,0,0.216,0.304,0.419,0.724,0.316,111,-0.1,-0.3,0.9,-1.6,0.2,999,19627
Austin Allen,MIA,9,36,33,8,2,0,1,4,4,2,10,0,0,0,0.229,0.282,0.395,0.677,0.295,92,-0.1,0,-0.4,0.8,0.2,999,18083
Nick Maton,PHI,21,84,73,16,4,0,2,9,8,8,22,1,1,0,0.223,0.308,0.365,0.672,0.299,90,0,0,-1,-0.2,0.2,999,21635
Hoy Park,BOS,39,155,134,30,6,1,3,17,15,18,40,1,3,1,0.222,0.318,0.352,0.67,0.299,88,0,-0.6,-2,-1.3,0.2,999,18027
Joey Wiemer,MIL,16,66,59,14,3,0,3,8,8,5,18,1,2,1,0.235,0.303,0.421,0.723,0.314,102,0,0,0.2,-0.8,0.2,999,2014531
Kevin Smith,OAK,16,65,59,13,3,0,2,7,7,4,18,1,1,0,0.219,0.278,0.382,0.659,0.288,91,0,-0.5,-0.6,0.1,0.2,999,20242
Alcides Escobar,FA,44,184,170,40,8,1,2,18,16,9,38,3,2,1,0.237,0.283,0.339,0.622,0.275,76,-0.1,-1.3,-5.1,0.6,0.2,999,6310
Tyler Nevin,BAL,15,59,52,12,2,0,2,6,6,5,13,1,0,0,0.232,0.312,0.381,0.693,0.307,100,-0.1,0.1,-0.1,-0.4,0.2,999,17893
David Dahl,SDP,57,216,197,47,11,1,6,24,24,14,54,2,2,1,0.239,0.292,0.384,0.677,0.296,94,-0.1,-0.8,-1.7,-4.1,0.1,999,13744
Brett Wisely,SFG,8,33,29,7,1,0,1,4,3,3,7,0,1,0,0.243,0.311,0.391,0.702,0.308,100,0,0,0,0.2,0.1,999,8170003
Ernie Clement,OAK,19,78,71,17,4,0,1,7,7,5,12,1,1,0,0.24,0.293,0.343,0.636,0.282,87,-0.1,-0.3,-1.2,0.1,0.1,999,20352
Derek Hill,WSN,32,129,118,26,5,1,3,13,12,8,37,1,3,1,0.223,0.279,0.359,0.638,0.281,78,0.1,0.5,-3.2,0.2,0.1,999,16947
Edwin Ríos,FA,60,243,218,48,10,0,10,27,30,18,77,3,2,1,0.219,0.288,0.407,0.695,0.302,95,-0.3,-0.4,-1.7,-5,0.1,999,18316
David Bote,CHC,11,46,41,9,2,0,1,5,5,3,12,1,0,0,0.229,0.299,0.386,0.685,0.301,94,0,-0.1,-0.3,0,0.1,999,14593
Braden Shewmake,ATL,13,53,48,12,2,0,1,6,6,3,11,0,1,0,0.24,0.288,0.382,0.67,0.293,85,0,0,-0.9,0.4,0.1,999,2010332
Brad Miller,TEX,76,305,270,60,10,1,11,33,34,29,87,2,4,1,0.222,0.301,0.391,0.692,0.304,98,-0.7,-1.9,-1.5,-7,0.1,999,12775
Justin Dirden,HOU,10,39,35,8,2,0,1,5,5,3,11,1,0,0,0.24,0.305,0.432,0.737,0.32,110,0,0,0.4,-0.5,0.1,999,2014986
Donny Sands,PHI,6,25,22,5,1,0,1,3,3,2,5,0,0,0,0.237,0.313,0.382,0.695,0.306,95,0,0,-0.2,0.5,0.1,999,18603
Pedro Leon,HOU,16,66,57,11,2,0,2,7,6,7,21,1,3,1,0.2,0.297,0.342,0.639,0.286,86,0,0,-1,0.1,0.1,999,2014838
Jeter Downs,BOS,23,91,81,16,3,0,3,10,10,7,28,1,2,1,0.203,0.276,0.371,0.648,0.285,79,0.1,-0.2,-2.1,0.3,0.1,999,22202
Mark Payton,CHW,10,39,35,9,2,0,1,5,5,3,7,0,1,0,0.249,0.317,0.426,0.742,0.323,111,-0.1,-0.1,0.4,-0.6,0.1,999,16042
Marwin Gonzalez,FA,34,137,124,28,5,0,3,14,13,9,34,2,2,1,0.223,0.284,0.348,0.633,0.28,80,-0.3,-1.1,-3.4,0,0.1,999,5497
Brennen Davis,CHC,8,33,29,6,1,0,1,4,3,3,10,1,0,0,0.22,0.304,0.379,0.683,0.302,94,0,0,-0.2,0.1,0.1,999,2007876
Willie MacIver,COL,9,37,33,8,2,0,1,4,4,3,10,0,1,0,0.229,0.291,0.392,0.683,0.299,77,0,0,-1,0.8,0.1,999,2007828
Jonathan Davis,FA,16,64,55,12,2,0,1,7,6,6,16,1,2,1,0.218,0.309,0.327,0.636,0.287,85,0.1,-0.3,-1,-0.1,0.1,999,15104
Sandy Leon,FA,32,124,110,21,4,0,2,11,10,11,33,1,1,0,0.195,0.272,0.297,0.569,0.257,64,-0.6,-0.7,-5.7,1.9,0.1,999,5273
Nomar Mazara,BAL,23,93,84,21,4,0,3,10,10,7,22,1,0,0,0.243,0.304,0.389,0.693,0.304,98,-0.1,-0.6,-0.3,-1.7,0.1,999,14553
Travis Swaggerty,PIT,16,65,58,13,2,1,1,7,7,6,17,1,2,1,0.229,0.306,0.368,0.674,0.299,91,0,0,-0.7,-0.6,0.1,999,24491
Robinson Canó,ATL,42,169,157,40,8,1,4,17,18,8,36,1,1,0,0.254,0.294,0.383,0.677,0.296,91,-0.6,-0.4,-2.3,-2.3,0.1,999,3269
Wenceel Perez,DET,6,26,24,6,1,0,1,3,3,2,4,0,1,0,0.248,0.305,0.389,0.693,0.303,98,0,0,-0.1,0.1,0.1,999,2003326
Matthew Batten,SDP,26,107,95,22,4,0,2,11,10,9,27,1,3,1,0.229,0.302,0.327,0.629,0.282,84,0,-0.3,-2,-0.8,0.1,999,20157
Richie Palacios,CLE,10,38,34,8,2,0,1,4,4,4,8,0,1,0,0.25,0.329,0.383,0.711,0.314,104,0,-0.1,0.2,-0.5,0.1,999,24589
Andrew Velazquez,LAA,18,69,63,13,3,0,2,7,7,4,22,1,3,1,0.211,0.267,0.34,0.607,0.268,70,0.2,-0.1,-2,0.7,0.1,999,14196
Brett Phillips,FA,40,160,140,26,5,1,4,16,15,17,58,2,4,1,0.184,0.277,0.328,0.605,0.271,74,0.4,0.1,-4.4,0,0.1,999,14735
Joey Ortiz,BAL,5,20,18,5,1,0,1,2,2,1,3,0,0,0,0.255,0.313,0.405,0.718,0.313,104,0,0,0.1,0.1,0.1,999,2009889
Devlin Granberg,BOS,10,39,35,9,2,0,1,4,4,3,8,1,0,0,0.254,0.318,0.406,0.724,0.317,101,0,0,0,-0.5,0.1,999,2006671
Stephen Scott,BOS,5,18,16,4,1,0,0,2,2,2,4,0,0,0,0.224,0.313,0.373,0.687,0.304,92,0,0,-0.2,0.4,0.1,999,2011469
Hunter Dozier,KCR,62,254,228,53,12,2,7,26,27,20,66,3,3,1,0.231,0.298,0.387,0.685,0.301,92,-0.8,-0.9,-3.1,-4.2,0.1,999,15117
Michael Stefanic,LAA,5,20,17,4,1,0,0,2,2,2,3,0,0,0,0.261,0.34,0.37,0.71,0.316,104,0,0,0.1,0.1,0.1,999,25353
Ryan McKenna,BAL,23,94,83,18,4,0,2,9,9,9,30,1,1,1,0.213,0.291,0.345,0.636,0.283,83,0.1,0,-1.7,-0.6,0.1,999,19928
Jo Adell,LAA,16,66,61,14,3,0,3,7,8,4,21,1,1,0,0.223,0.278,0.417,0.695,0.301,94,0,-0.1,-0.5,-0.9,0.1,999,20220
Hunter Feduccia,LAD,5,18,16,4,1,0,1,2,2,2,5,0,0,0,0.218,0.289,0.371,0.661,0.291,88,0,0,-0.3,0.4,0.1,999,2007872
Xavier Edwards,MIA,6,26,24,6,1,0,0,2,2,2,5,0,1,0,0.241,0.306,0.33,0.636,0.284,84,0,0,-0.5,0.3,0.1,999,2007018
Peyton Burdick,MIA,11,44,39,8,2,0,1,5,5,4,14,1,1,0,0.213,0.303,0.384,0.687,0.303,97,0,-0.3,-0.2,-0.6,0.1,999,25459
Wyatt Young,NYM,5,20,17,4,1,0,0,2,2,2,4,0,0,0,0.242,0.318,0.344,0.662,0.296,96,0,0,-0.1,0.1,0.1,999,2017081
Mark Kolozsvary,BAL,11,41,37,7,2,0,1,4,4,4,13,1,0,0,0.19,0.273,0.319,0.592,0.266,71,0,0,-1.4,0.8,0.1,999,21304
Luke Raley,TBR,8,33,29,7,1,0,1,4,4,2,10,1,0,0,0.227,0.304,0.4,0.705,0.31,107,0,-0.1,0.2,-0.6,0.1,999,19354
Esteban Quiroz,CHC,5,21,18,4,1,0,0,2,2,2,5,0,0,0,0.225,0.323,0.363,0.686,0.306,97,0,-0.1,-0.1,0,0.1,999,19780
Buddy Kennedy,ARI,5,20,18,4,1,0,0,2,2,2,4,0,0,0,0.238,0.318,0.37,0.688,0.305,94,0,0,-0.1,0.1,0.1,999,22505
Eli White,TEX,32,130,116,24,5,0,3,13,12,11,40,1,5,2,0.209,0.282,0.333,0.615,0.274,77,0.2,0.8,-3.2,-0.3,0.1,999,19346
Lucius Fox,WSN,24,97,86,18,4,0,1,9,8,8,25,1,3,1,0.212,0.287,0.317,0.604,0.27,71,0.1,-0.2,-3.2,0.5,0.1,999,18899
Franchy Cordero,BAL,10,39,35,8,2,0,1,4,4,4,12,0,1,0,0.233,0.307,0.404,0.711,0.311,103,0,-0.1,0.2,-0.8,0.1,999,14567
Hunter Stovall,COL,5,20,18,5,1,0,0,2,2,1,4,0,0,0,0.264,0.314,0.395,0.71,0.311,85,0,0,-0.4,0.2,0.1,999,2008181
Yoelqui Céspedes,CHW,36,145,133,30,7,0,4,15,15,7,43,3,4,2,0.229,0.28,0.372,0.652,0.286,84,0.1,0,-2.5,-1.6,0.1,999,2015137
Jonathan Araúz,NYM,5,19,17,4,1,0,0,2,2,1,4,0,0,0,0.232,0.294,0.36,0.654,0.289,91,0,0,-0.2,0.1,0.1,999,20275
Yoshi Tsutsugo,FA,55,231,201,44,8,0,8,26,26,26,62,1,1,0,0.218,0.309,0.379,0.687,0.305,97,-0.4,-0.4,-1.2,-5.8,0.1,999,27459
Yadiel Hernandez,WSN,13,53,48,12,2,0,2,6,6,4,12,0,0,0,0.253,0.308,0.408,0.716,0.312,99,-0.2,-0.4,-0.2,-1,0.1,999,19334
Jared Triolo,PIT,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.252,0.323,0.382,0.706,0.311,99,0,0,0,0.1,0.1,999,2010272
