Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Nick Castellanos,PHI,141,602,552,142,33,1,20,69,77,37,136,6,5,2,0.257,0.309,0.43,0.739,0.32,105,-0.8,-5.8,2.6,-15,0.8,999,11737
Jake Alu,WSN,86,332,302,80,19,1,9,37,38,22,64,3,4,2,0.265,0.319,0.424,0.744,0.323,107,-0.2,0,2.3,-5.7,0.8,999,2010009
JJ Bleday,MIA,79,330,284,58,13,1,11,35,36,39,88,3,3,1,0.205,0.306,0.372,0.678,0.302,96,-0.2,-0.4,-1.7,-1.6,0.8,999,26368
Edward Olivares,KCR,68,279,253,66,13,1,9,31,32,19,53,3,5,2,0.261,0.319,0.423,0.742,0.324,108,0.1,-0.7,2.6,-3.8,0.8,999,19698
Josh Lowe,TBR,63,260,230,53,12,1,8,29,29,25,82,2,7,2,0.229,0.308,0.394,0.702,0.308,105,0.4,0,1.9,-2.5,0.8,999,19953
Nick Ahmed,ARI,100,386,350,81,19,2,8,40,38,27,83,3,7,2,0.23,0.288,0.362,0.65,0.285,81,0.3,-2,-8.3,3,0.8,999,12147
Zach McKinstry,CHC,62,256,228,54,11,2,6,28,26,22,57,3,4,2,0.238,0.309,0.391,0.701,0.307,98,0.1,-1.1,-0.6,-0.4,0.8,999,19392
Marcell Ozuna,ATL,109,434,391,97,17,1,18,52,58,35,100,3,2,1,0.248,0.312,0.436,0.748,0.325,107,-0.4,-1.3,3.2,-10.2,0.8,999,10324
Diego Castillo,PIT,73,300,271,64,14,0,10,32,34,21,63,3,3,1,0.236,0.297,0.395,0.692,0.302,94,-0.1,0.1,-2.4,-0.1,0.8,999,19906
J.D. Martinez,NA,141,610,548,137,30,1,20,70,76,52,152,5,1,0,0.25,0.318,0.422,0.741,0.322,109,-2.7,-0.3,3.7,-16.2,0.8,999,6184
Jesús Sánchez,MIA,63,263,236,58,10,2,11,30,34,21,66,3,1,1,0.245,0.312,0.439,0.751,0.326,112,-0.7,0.1,3.1,-4.5,0.8,999,19913
Jordan Groshans,MIA,50,198,175,46,9,0,3,20,19,18,36,1,1,0,0.26,0.333,0.368,0.701,0.312,103,-0.2,-0.8,0.5,0.3,0.8,999,23794
Donovan Solano,FA,73,303,277,75,15,0,5,31,31,18,58,5,1,0,0.272,0.324,0.384,0.708,0.311,101,-0.9,-1.1,-0.5,-2,0.8,999,8623
Taylor Walls,TBR,58,232,201,42,10,1,5,24,22,26,59,2,5,2,0.21,0.303,0.339,0.642,0.288,91,0.3,0.4,-2,2,0.8,999,22458
Wil Myers,NA,96,391,350,85,19,1,12,43,45,34,107,2,4,2,0.243,0.312,0.409,0.721,0.315,104,0.3,-0.3,1.9,-7.4,0.8,999,10047
Drew Waters,KCR,81,322,288,69,15,3,9,34,35,27,92,3,8,3,0.239,0.308,0.401,0.709,0.311,99,0.1,0,-0.3,-2.7,0.8,999,20505
Andrew Knizner,STL,95,371,328,76,15,1,8,38,37,32,78,6,2,1,0.231,0.307,0.353,0.66,0.294,92,-0.5,0.2,-4,8.1,0.8,999,19514
Abraham Toro,MIL,50,205,182,44,9,1,6,23,24,17,35,3,2,1,0.241,0.313,0.409,0.722,0.316,103,-0.3,-0.9,0.4,-0.1,0.8,999,19844
Romy Gonzalez,CHW,71,270,245,56,11,1,9,30,30,18,82,2,6,2,0.23,0.287,0.392,0.678,0.296,91,0.2,-0.3,-2.4,1,0.7,999,21562
Matt Vierling,PHI,73,288,260,67,12,2,7,33,32,21,59,3,7,3,0.256,0.316,0.404,0.72,0.315,102,0.2,-1.5,0.7,-3.3,0.7,999,21558
Blake Sabol,CIN,35,143,127,31,6,1,4,16,16,12,37,1,1,1,0.243,0.314,0.403,0.717,0.314,103,-0.1,0,0.5,1.9,0.7,999,2010269
Seby Zavala,CHW,52,200,178,35,8,0,6,20,20,17,72,2,1,0,0.197,0.275,0.34,0.614,0.273,75,-0.4,-0.8,-6,2.7,0.7,999,18887
Danny Mendick,NA,68,271,243,57,11,1,6,29,26,21,59,3,4,1,0.234,0.301,0.359,0.66,0.293,88,0,-0.2,-3.6,1.6,0.7,999,18889
César Hernández,NA,97,430,387,95,17,2,6,47,35,33,85,4,5,2,0.246,0.31,0.349,0.659,0.293,88,-0.2,-1.1,-5.9,-1.4,0.7,999,10556
Andrew McCutchen,NA,125,541,473,112,23,1,18,64,61,58,117,4,7,3,0.236,0.323,0.4,0.722,0.318,106,-1.8,-1.8,2,-13,0.7,999,9847
Kyle Stowers,BAL,76,304,270,65,14,1,12,34,38,27,86,4,2,1,0.24,0.315,0.435,0.75,0.326,113,-0.4,-0.1,4.2,-7.2,0.7,999,26151
Randal Grichuk,COL,107,434,403,104,21,2,17,50,58,22,95,4,2,1,0.259,0.302,0.452,0.754,0.325,95,-0.9,-2.1,-3.4,-4.5,0.7,999,10243
Nick Pratto,KCR,70,285,245,53,11,2,12,33,34,33,88,4,3,1,0.216,0.316,0.42,0.737,0.323,108,-0.3,1.3,2.1,-4.6,0.7,999,22117
Geraldo Perdomo,ARI,57,218,190,43,8,2,3,22,19,22,44,2,4,1,0.228,0.315,0.334,0.649,0.292,85,0.3,0.1,-3.5,2.7,0.7,999,22799
Trevor Larnach,MIN,102,411,361,82,18,1,13,43,45,39,129,6,2,1,0.228,0.31,0.385,0.695,0.306,101,-0.8,1.4,-0.5,-6,0.7,999,21501
Edmundo Sosa,PHI,57,226,207,50,9,2,5,24,24,10,51,6,4,2,0.242,0.293,0.38,0.673,0.295,87,0.1,1,-3.2,2.1,0.7,999,17022
Willson Contreras,FA,40,179,154,37,7,0,7,24,21,16,42,6,2,1,0.239,0.331,0.426,0.757,0.333,118,-0.4,0,3.4,-2.5,0.7,999,11609
Matt Carpenter,FA,109,436,373,82,18,1,16,52,51,50,116,8,3,1,0.221,0.323,0.407,0.73,0.321,108,-1.5,-0.3,2.6,-10.5,0.7,999,8090
LaMonte Wade Jr.,SFG,89,363,311,71,14,1,11,42,39,41,78,5,3,1,0.228,0.324,0.391,0.715,0.315,104,-0.7,-1.1,1.2,-7,0.7,999,18126
Nolan Jones,COL,58,235,205,52,11,1,8,28,29,25,63,2,3,1,0.255,0.338,0.441,0.78,0.34,105,-0.3,0.5,1.1,-2.6,0.7,999,20529
Ben Gamel,FA,78,330,287,68,15,2,7,36,33,36,83,3,4,2,0.237,0.325,0.37,0.695,0.308,99,-0.2,0,-0.6,-3.9,0.7,999,12160
Sean Bouchard,COL,47,188,164,42,10,1,8,25,25,20,47,2,3,1,0.258,0.341,0.474,0.815,0.353,114,-0.1,-0.1,2.9,-2.9,0.7,999,21270
Paul DeJong,STL,42,170,151,32,6,0,6,18,20,14,46,2,2,1,0.211,0.286,0.38,0.666,0.293,91,-0.1,0.8,-1.8,2.4,0.7,999,18015
Dominic Smith,FA,84,347,311,77,18,1,10,39,41,26,73,6,2,1,0.249,0.316,0.411,0.727,0.318,106,-0.7,0.9,1.6,-6.7,0.7,999,15653
Miguel Andújar,PIT,91,372,345,91,19,1,12,42,47,19,58,3,4,2,0.264,0.305,0.431,0.736,0.319,105,0,-1.4,2.1,-8.4,0.7,999,15878
Kyle Isbel,KCR,75,299,270,65,13,3,7,32,32,21,72,4,10,4,0.243,0.304,0.393,0.697,0.305,95,0.2,1.1,-1.5,-1.9,0.6,999,21614
Ildemaro Vargas,WSN,81,320,295,74,16,2,6,32,32,18,43,2,3,1,0.252,0.298,0.379,0.677,0.296,88,-0.1,-2.2,-4.5,-0.2,0.6,999,13324
Curt Casali,FA,60,237,205,43,8,1,6,25,23,25,68,3,1,1,0.209,0.302,0.345,0.647,0.289,86,-0.5,-0.7,-4.3,4.4,0.6,999,12510
Alan Trejo,COL,57,222,206,52,12,1,8,26,28,10,49,2,3,1,0.253,0.293,0.436,0.729,0.314,87,-0.1,-0.4,-3.4,1.8,0.6,999,20056
Jacob Amaya,LAD,42,171,150,34,6,1,5,19,18,17,38,1,1,0,0.225,0.307,0.367,0.674,0.299,94,-0.1,0,-1.4,1.5,0.6,999,2005081
Cristian Pache,OAK,68,265,242,55,12,1,7,26,27,17,67,2,4,2,0.227,0.281,0.374,0.655,0.287,91,-0.2,-0.7,-3,0.4,0.6,999,19948
Cavan Biggio,TOR,66,266,224,49,11,1,7,31,27,35,68,3,3,1,0.22,0.331,0.374,0.705,0.315,106,-0.2,-1.1,1.6,-4.2,0.6,999,19252
Eric Hosmer,BOS,130,544,490,133,28,1,14,62,65,43,91,4,3,1,0.273,0.334,0.422,0.757,0.328,109,-2.3,-1.2,3.3,-14.8,0.6,999,3516
Taylor Trammell,SEA,52,206,181,40,8,0,7,23,22,21,56,2,5,2,0.219,0.304,0.38,0.684,0.302,101,0,1.3,0.3,-1.1,0.6,999,19960
Canaan Smith-Njigba,PIT,42,171,147,36,8,1,4,19,18,20,41,2,4,1,0.247,0.342,0.393,0.736,0.326,110,0,0.1,1.9,-2,0.6,999,23264
Jake Burger,CHW,71,290,263,64,11,2,11,33,36,20,79,3,1,0,0.242,0.301,0.427,0.728,0.316,105,-0.3,-0.4,1.5,-5.1,0.6,999,22275
Jake Lamb,FA,150,610,531,114,23,2,20,66,66,63,176,8,3,1,0.215,0.305,0.374,0.679,0.301,94,-0.8,1,-4.7,-9.6,0.6,999,13329
Jason Heyward,LAD,65,260,230,54,10,1,7,27,27,23,54,3,3,1,0.237,0.313,0.376,0.689,0.305,97,0.2,1,-0.7,-2.2,0.6,999,4940
Gilberto Celestino,MIN,44,173,153,38,8,1,3,18,17,16,38,2,2,1,0.248,0.322,0.373,0.694,0.308,102,-0.4,-0.6,0,0,0.6,999,20233
Bryan Lavastida,CLE,39,155,138,31,6,1,4,17,16,12,34,2,2,1,0.226,0.295,0.362,0.658,0.291,88,-0.1,0,-2.2,3.2,0.6,999,24765
José Azocar,SDP,75,291,267,66,12,2,5,31,30,17,65,2,9,4,0.248,0.296,0.369,0.665,0.292,91,0,1,-3.2,-1.1,0.6,999,18821
Rafael Ortega,FA,68,294,258,62,12,1,7,35,28,30,62,2,9,3,0.241,0.323,0.38,0.703,0.31,101,-0.3,-0.5,0,-4.1,0.6,999,10323
Nathan Lukes,TOR,60,243,219,53,13,1,4,26,24,18,47,3,4,2,0.243,0.305,0.366,0.671,0.295,92,-0.1,0,-2.4,0,0.6,999,275215
Luke Maile,CIN,45,176,155,34,8,0,3,17,16,16,49,2,1,0,0.22,0.3,0.342,0.642,0.287,76,-0.2,0.9,-5.1,4.7,0.6,999,13355
Sam Haggerty,SEA,65,257,228,52,12,1,5,27,25,22,64,3,11,3,0.229,0.303,0.359,0.662,0.292,94,0.6,0.4,-1.2,-1.6,0.6,999,18054
Rougned Odor,FA,84,339,304,65,13,2,11,35,38,24,84,6,3,1,0.215,0.283,0.38,0.664,0.291,87,0,-2.3,-4.9,-0.9,0.6,999,12282
Luke Voit,FA,122,519,456,105,19,1,21,60,65,50,155,7,2,1,0.23,0.313,0.414,0.727,0.319,107,-2.1,-0.7,1.8,-13.5,0.6,999,14811
Raimel Tapia,FA,71,299,276,73,15,2,5,33,29,17,52,1,7,2,0.266,0.31,0.386,0.697,0.305,97,0.7,-1.7,-0.4,-4.1,0.6,999,14350
Jason Delay,PIT,57,219,201,43,9,1,4,21,20,13,57,2,3,1,0.216,0.268,0.33,0.598,0.265,68,-0.2,-1.5,-8.4,3.3,0.6,999,19806
Stone Garrett,WSN,65,273,253,60,13,1,13,33,36,14,73,2,6,2,0.238,0.283,0.451,0.734,0.315,101,0,-0.1,0.4,-4.4,0.5,999,19273
